date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:30	383956/383956	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2006:35:31%20GMT	https://yorkstreetspa.com/wp-content/uploads/2023/12/y2.png	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/2023/12/y2.png	(from https://yorkstreetspa.com/)
14:35:30	9929/9929	---M-Z	200	added ('OK')	text/css	etag:%2226c9-669fd588-bfaa5d3d66bd7336;gz%22	https://yorkstreetspa.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://yorkstreetspa.com/)
14:35:31	160755/160755	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:31%20GMT	https://yorkstreetspa.com/contact-us/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/contact-us/index.html	(from https://yorkstreetspa.com/)
14:35:31	522598/522598	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2006:35:32%20GMT	https://yorkstreetspa.com/wp-content/uploads/2023/12/y3.png	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/2023/12/y3.png	(from https://yorkstreetspa.com/)
14:35:31	155377/155377	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:32%20GMT	https://yorkstreetspa.com/spa/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/spa/index.html	(from https://yorkstreetspa.com/)
14:35:31	348077/348077	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2006:35:32%20GMT	https://yorkstreetspa.com/wp-content/uploads/2023/12/ys1.png	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/2023/12/ys1.png	(from https://yorkstreetspa.com/)
14:35:32	196144/196144	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:33%20GMT	https://yorkstreetspa.com/massage/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/massage/index.html	(from https://yorkstreetspa.com/)
14:35:33	149424/149424	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:34%20GMT	https://yorkstreetspa.com/salon/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/salon/index.html	(from https://yorkstreetspa.com/)
14:35:33	139083/139083	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:34%20GMT	https://yorkstreetspa.com/medi-spa-services/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/medi-spa-services/index.html	(from https://yorkstreetspa.com/)
14:35:33	306326/306326	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2006:35:34%20GMT	https://yorkstreetspa.com/wp-content/uploads/2023/12/ys2.png	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/2023/12/ys2.png	(from https://yorkstreetspa.com/)
14:35:34	160439/160439	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:35%20GMT	https://yorkstreetspa.com/spa-packages/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/spa-packages/index.html	(from https://yorkstreetspa.com/)
14:35:34	291588/291588	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2006:35:35%20GMT	https://yorkstreetspa.com/wp-content/uploads/2023/12/ys3.png	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/2023/12/ys3.png	(from https://yorkstreetspa.com/)
14:35:34	143243/143243	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:35%20GMT	https://yorkstreetspa.com/gift-cards/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/gift-cards/index.html	(from https://yorkstreetspa.com/)
14:35:34	149802/149802	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:35%20GMT	https://yorkstreetspa.com/wedding-services/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wedding-services/index.html	(from https://yorkstreetspa.com/)
14:35:35	381592/381592	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2006:35:36%20GMT	https://yorkstreetspa.com/wp-content/uploads/2023/12/ys4a.png	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/2023/12/ys4a.png	(from https://yorkstreetspa.com/)
14:35:35	334479/334479	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2006:35:36%20GMT	https://yorkstreetspa.com/wp-content/uploads/2023/12/ys5.png	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/2023/12/ys5.png	(from https://yorkstreetspa.com/)
14:35:36	208972/208972	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:37%20GMT	https://yorkstreetspa.com/about-us/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/about-us/index.html	(from https://yorkstreetspa.com/)
14:35:37	312068/312068	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2006:35:38%20GMT	https://yorkstreetspa.com/wp-content/uploads/2023/12/ys6.png	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/2023/12/ys6.png	(from https://yorkstreetspa.com/)
14:35:39	442597/442597	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2006:35:40%20GMT	https://yorkstreetspa.com/wp-content/uploads/2023/12/ys7.png	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/2023/12/ys7.png	(from https://yorkstreetspa.com/)
14:35:41	321574/321574	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2006:35:42%20GMT	https://yorkstreetspa.com/wp-content/uploads/2023/12/ys8.png	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/2023/12/ys8.png	(from https://yorkstreetspa.com/)
14:35:43	347678/347678	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2006:35:44%20GMT	https://yorkstreetspa.com/wp-content/uploads/2023/12/ys9.png	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/2023/12/ys9.png	(from https://yorkstreetspa.com/)
14:35:47	26464/26464	---M-Z	200	added ('OK')	text/css	etag:%226760-658c0764-76ff2de939cf36e5;gz%22	https://yorkstreetspa.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	(from https://yorkstreetspa.com/)
14:35:47	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%224824-669fd588-739ecb14491b4c3f;gz%22	https://yorkstreetspa.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.23.2	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/plugins/elementor/assets/lib/animations/animations.min5f06.css	(from https://yorkstreetspa.com/)
14:35:47	27692/27692	---M-Z	200	added ('OK')	text/css	etag:%226c2c-66911ecc-f30051d7509a4c51;gz%22	https://yorkstreetspa.com/wp-content/uploads/trustindex-google-widget.css?ver=1720786636	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/trustindex-google-widget0a42.css	(from https://yorkstreetspa.com/)
